key	query	seed_ortholog	evalue	score	eggNOG_OGs	description	preferred_name	GOs	KEGG_ko	KEGG_pathway	brite	PFAMs
543	QOL31030.1	1437609.BCAL_1136	2.84e-56	191.0	COG5434@1|root,COG5434@2|Bacteria,2I9IV@201174|Actinobacteria,4D20N@85004|Bifidobacteriales	Glycosyl hydrolases family 28	-	-	-	-	-	Glyco_hydro_28,Pectate_lyase_3,fn3
543	QOL31031.1	1147128.BAST_1372	1.04e-140	408.0	COG1609@1|root,COG1609@2|Bacteria,2GNVD@201174|Actinobacteria,4CZNG@85004|Bifidobacteriales	helix_turn _helix lactose operon repressor	-	-	ko:K02529	-	ko00000,ko03000	LacI,Peripla_BP_3
543	QOL31032.1	1437608.BBIA_0364	5.7e-255	709.0	COG1904@1|root,COG1904@2|Bacteria,2I8PE@201174|Actinobacteria,4D085@85004|Bifidobacteriales	Glucuronate isomerase	uxaC	-	ko:K01812	ko00040,ko01100,map00040,map01100	ko00000,ko00001,ko00002,ko01000	UxaC
543	QOL31033.1	742733.HMPREF9469_01965	3.72e-185	536.0	COG5434@1|root,COG5434@2|Bacteria,1TQQW@1239|Firmicutes,24A0R@186801|Clostridia,21Y64@1506553|Lachnoclostridium	Belongs to the glycosyl hydrolase 28 family	-	-	-	-	-	Glyco_hydro_28,Pectate_lyase_3
543	QOL31034.1	1437608.BBIA_0365	5.3e-86	271.0	COG1609@1|root,COG1609@2|Bacteria,2GNVD@201174|Actinobacteria,4CZNG@85004|Bifidobacteriales	helix_turn _helix lactose operon repressor	-	-	-	-	-	LacI,Peripla_BP_3
543	QOL31035.1	1435051.BMOU_0446	5.81e-61	204.0	COG1609@1|root,COG1609@2|Bacteria,2GJ5Q@201174|Actinobacteria,4D040@85004|Bifidobacteriales	helix_turn _helix lactose operon repressor	-	-	-	-	-	LacI,Peripla_BP_3
543	QOL31036.1	1196095.GAPWK_0003	8.61e-163	479.0	COG2211@1|root,COG2211@2|Bacteria,1MWT1@1224|Proteobacteria,1RMID@1236|Gammaproteobacteria	Major Facilitator	melB1_1	-	ko:K03292,ko:K16210	-	ko00000,ko02000	MFS_2
543	QOL31037.1	742735.HMPREF9467_02555	4.74e-185	524.0	COG4225@1|root,COG4225@2|Bacteria,1TRJ7@1239|Firmicutes,24806@186801|Clostridia,21XP3@1506553|Lachnoclostridium	Glycosyl Hydrolase Family 88	-	-	ko:K15532	-	ko00000,ko01000	Glyco_hydro_88
543	QOL31038.1	1437608.BBIA_2530	1.89e-166	468.0	COG1028@1|root,COG1028@2|Bacteria,2GK20@201174|Actinobacteria,4D2SE@85004|Bifidobacteriales	KR domain	gno	-	ko:K00046,ko:K00059	ko00061,ko00333,ko00780,ko01040,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01040,map01100,map01130,map01212	ko00000,ko00001,ko00002,ko01000,ko01004	adh_short_C2
543	QOL31039.1	1437608.BBIA_2531	1.12e-128	368.0	COG0698@1|root,COG0698@2|Bacteria,2IFTX@201174|Actinobacteria,4D0QB@85004|Bifidobacteriales	Ribose-5-phosphate isomerase	-	-	-	-	-	DUF3666,LacAB_rpiB
543	QOL31041.1	1298920.KI911353_gene3839	1.8e-36	141.0	COG2755@1|root,COG4625@1|root,COG5263@1|root,COG2755@2|Bacteria,COG4625@2|Bacteria,COG5263@2|Bacteria,1V3DP@1239|Firmicutes,24KRD@186801|Clostridia,220MF@1506553|Lachnoclostridium	Bacterial Ig-like domain (group 3)	-	-	-	-	-	Beta_helix,Big_3,Big_4,CW_binding_1
543	QOL31042.1	1437608.BBIA_1984	1.11e-184	522.0	COG1175@1|root,COG1175@2|Bacteria,2GKBJ@201174|Actinobacteria,4CZDV@85004|Bifidobacteriales	Binding-protein-dependent transport system inner membrane component	-	-	ko:K02025	-	ko00000,ko00002,ko02000	BPD_transp_1
543	QOL31043.1	1437608.BBIA_1982	3.64e-247	686.0	COG1653@1|root,COG1653@2|Bacteria,2GK12@201174|Actinobacteria,4D0GS@85004|Bifidobacteriales	Bacterial extracellular solute-binding protein	-	-	ko:K02027	-	ko00000,ko00002,ko02000	SBP_bac_1,SBP_bac_8
543	QOL31044.1	1437608.BBIA_0928	5.86e-33	126.0	COG5578@1|root,COG5578@2|Bacteria,2HZYF@201174|Actinobacteria,4D290@85004|Bifidobacteriales	Protein of unknown function, DUF624	-	-	-	-	-	DUF624
543	QOL31045.1	1437608.BBIA_1980	0.0	1003.0	COG2730@1|root,COG2730@2|Bacteria,2I5SY@201174|Actinobacteria	Glycosyl hydrolase family 115	-	-	-	-	-	Glyco_hydro_115
543	QOL31046.1	1437608.BBIA_1979	3.82e-114	342.0	COG1609@1|root,COG1609@2|Bacteria,2GJDS@201174|Actinobacteria,4CZR6@85004|Bifidobacteriales	helix_turn _helix lactose operon repressor	-	-	-	-	-	LacI,Peripla_BP_3
543	QOL31047.1	1437608.BBIA_2528	1.16e-102	308.0	COG1082@1|root,COG1082@2|Bacteria,2IGB4@201174|Actinobacteria,4D0Q1@85004|Bifidobacteriales	Xylose isomerase-like TIM barrel	-	-	-	-	-	AP_endonuc_2
543	QOL31048.1	1147128.BAST_1364	9.35e-270	752.0	COG2721@1|root,COG2721@2|Bacteria,2GJC8@201174|Actinobacteria,4D1V8@85004|Bifidobacteriales	D-galactarate dehydratase / Altronate hydrolase, C terminus	-	-	ko:K01685	ko00040,ko01100,map00040,map01100	ko00000,ko00001,ko00002,ko01000	GD_AH_C,SAF
543	QOL31049.1	218140.BPSY_1743	4.41e-27	104.0	29SSD@1|root,30DYB@2|Bacteria,2IJ1J@201174|Actinobacteria,4D0SG@85004|Bifidobacteriales	-	-	-	-	-	-	-
543	QOL31050.1	1437608.BBIA_2210	1.45e-96	285.0	2AP35@1|root,31E4N@2|Bacteria,2IBUY@201174|Actinobacteria,4D0R7@85004|Bifidobacteriales	-	-	-	-	-	-	-
543	QOL31051.1	326426.Bbr_1175	1.66e-140	399.0	COG0204@1|root,COG0204@2|Bacteria,2GJ6V@201174|Actinobacteria,4CZBB@85004|Bifidobacteriales	Phosphate acyltransferases	plsC2	-	ko:K00655	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110	ko00000,ko00001,ko00002,ko01000,ko01004	Acyltransferase
543	QOL31052.1	216816.GS08_06110	1.73e-145	422.0	COG0142@1|root,COG0142@2|Bacteria,2GJEK@201174|Actinobacteria,4CZQV@85004|Bifidobacteriales	Belongs to the FPP GGPP synthase family	idsA	-	ko:K13787	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	ko00000,ko00001,ko00002,ko01000,ko01006	polyprenyl_synt
543	QOL31053.1	216816.GS08_06100	5.19e-225	633.0	COG0568@1|root,COG0568@2|Bacteria,2GK3Z@201174|Actinobacteria,4CZQC@85004|Bifidobacteriales	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released. This sigma factor is the primary sigma factor during exponential growth	sigA	-	ko:K03086	-	ko00000,ko03021	Sigma70_r1_2,Sigma70_r2,Sigma70_r3,Sigma70_r4
543	QOL31054.1	216816.GS08_06095	0.0	1333.0	COG0187@1|root,COG0187@2|Bacteria,2GM1E@201174|Actinobacteria,4CYXR@85004|Bifidobacteriales	DNA topoisomerase (ATP-hydrolyzing)	gyrB2	-	ko:K02470	-	ko00000,ko01000,ko03032,ko03400	DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim
543	QOL31055.1	1437610.BREU_1529	6.6e-133	402.0	COG0642@1|root,COG2205@2|Bacteria,2I4ZW@201174|Actinobacteria,4CZGX@85004|Bifidobacteriales	Domain of unknown function (DUF4173)	-	-	-	-	-	DUF4173
543	QOL31056.1	78346.BRUM_0192	1.75e-35	121.0	COG3655@1|root,COG3655@2|Bacteria,2GQZM@201174|Actinobacteria,4D1EQ@85004|Bifidobacteriales	Cro/C1-type HTH DNA-binding domain	-	-	ko:K07727	-	ko00000,ko03000	HTH_26
543	QOL31057.1	326426.Bbr_1169	1.42e-217	608.0	COG0738@1|root,COG0738@2|Bacteria,2HWKN@201174|Actinobacteria,4CYRZ@85004|Bifidobacteriales	Major Facilitator Superfamily	-	-	-	-	-	MFS_1
543	QOL31058.1	216816.GS08_06070	0.0	1468.0	COG0188@1|root,COG0188@2|Bacteria,2GJ2Q@201174|Actinobacteria,4CYVH@85004|Bifidobacteriales	DNA topoisomerase (ATP-hydrolyzing)	gyrA2	-	ko:K02469	-	ko00000,ko01000,ko03032,ko03400	DNA_gyraseA_C,DNA_topoisoIV
543	QOL31059.1	78344.BIGA_0593	3.09e-208	587.0	COG1524@1|root,COG1524@2|Bacteria,2GISU@201174|Actinobacteria,4CZCK@85004|Bifidobacteriales	Type I phosphodiesterase / nucleotide pyrophosphatase	-	-	-	-	-	Phosphodiest
543	QOL31060.1	216816.GS08_06060	1.47e-119	357.0	29W72@1|root,30HS9@2|Bacteria,2HZB4@201174|Actinobacteria,4CZFJ@85004|Bifidobacteriales	Protein of unknown function (DUF3071)	-	-	-	-	-	DUF3071
543	QOL31061.1	1437610.BREU_1542	3.11e-57	178.0	2ATJW@1|root,3361K@2|Bacteria,2I80Y@201174|Actinobacteria,4D10Y@85004|Bifidobacteriales	Domain of unknown function (DUF4193)	-	-	-	-	-	DUF4193
543	QOL31062.1	326426.Bbr_1158	8.63e-100	290.0	COG0756@1|root,COG0756@2|Bacteria,2IHYY@201174|Actinobacteria,4CZUJ@85004|Bifidobacteriales	This enzyme is involved in nucleotide metabolism it produces dUMP, the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA	dut	-	ko:K01520	ko00240,ko00983,ko01100,map00240,map00983,map01100	ko00000,ko00001,ko00002,ko01000,ko03400	dUTPase
543	QOL31063.1	326426.Bbr_1157	0.0	1411.0	COG0317@1|root,COG0317@2|Bacteria,2GJYQ@201174|Actinobacteria,4CZCW@85004|Bifidobacteriales	In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance	relA	GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0007154,GO:0008150,GO:0008152,GO:0008728,GO:0008893,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009150,GO:0009152,GO:0009163,GO:0009165,GO:0009259,GO:0009260,GO:0009267,GO:0009405,GO:0009605,GO:0009987,GO:0009991,GO:0015968,GO:0015969,GO:0015970,GO:0016020,GO:0016740,GO:0016772,GO:0016778,GO:0016787,GO:0016788,GO:0016794,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0030145,GO:0030312,GO:0031667,GO:0031668,GO:0031669,GO:0033554,GO:0033865,GO:0033866,GO:0033875,GO:0034030,GO:0034032,GO:0034033,GO:0034035,GO:0034036,GO:0034404,GO:0034641,GO:0034654,GO:0042278,GO:0042451,GO:0042455,GO:0042578,GO:0042594,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044419,GO:0044464,GO:0046128,GO:0046129,GO:0046390,GO:0046483,GO:0046872,GO:0046914,GO:0050896,GO:0051704,GO:0051716,GO:0055086,GO:0071496,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:0090407,GO:1901068,GO:1901070,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659	ko:K00951,ko:K01139	ko00230,map00230	ko00000,ko00001,ko01000,ko03009	ACT_4,HD_4,RelA_SpoT,TGS
543	QOL31064.1	158787.BSCA_0495	0.0	1244.0	COG0577@1|root,COG1136@1|root,COG0577@2|Bacteria,COG1136@2|Bacteria,2GK3I@201174|Actinobacteria,4D0AY@85004|Bifidobacteriales	ATPases associated with a variety of cellular activities	-	-	ko:K02003,ko:K02004	-	ko00000,ko00002,ko02000	ABC_tran,FtsX
543	QOL31065.1	78344.BIGA_0526	8.84e-145	416.0	COG0583@1|root,COG0583@2|Bacteria,2GK13@201174|Actinobacteria,4CZKC@85004|Bifidobacteriales	LysR substrate binding domain	-	-	-	-	-	HTH_1,LysR_substrate
543	QOL31066.1	158787.BSCA_1572	7.81e-97	305.0	COG3290@1|root,COG3290@2|Bacteria,2IH0T@201174|Actinobacteria,4D0U8@85004|Bifidobacteriales	GHKL domain	-	-	-	-	-	HATPase_c_5
543	QOL31067.1	158787.BSCA_1571	1.02e-83	256.0	COG3279@1|root,COG3279@2|Bacteria,2GKK5@201174|Actinobacteria,4D0X5@85004|Bifidobacteriales	LytTr DNA-binding domain	-	-	-	-	-	LytTR,Response_reg
543	QOL31068.1	158787.BSCA_2028	0.0	1299.0	COG1472@1|root,COG1472@2|Bacteria,2GQQR@201174|Actinobacteria,4CZ02@85004|Bifidobacteriales	Fibronectin type III-like domain	-	-	ko:K05349	ko00460,ko00500,ko00940,ko01100,ko01110,map00460,map00500,map00940,map01100,map01110	ko00000,ko00001,ko01000	Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C
543	QOL31069.1	1123008.KB905709_gene630	4.27e-39	138.0	COG4925@1|root,COG4925@2|Bacteria,4NQA7@976|Bacteroidetes,2FSHV@200643|Bacteroidia,22YJP@171551|Porphyromonadaceae	Cyclophilin-like	-	-	-	-	-	Cyclophil_like
543	QOL31070.1	1437609.BCAL_2265	3.61e-98	291.0	COG0586@1|root,COG0586@2|Bacteria,2GN43@201174|Actinobacteria,4D0JR@85004|Bifidobacteriales	SNARE associated Golgi protein	-	-	-	-	-	SNARE_assoc
543	QOL31071.1	1437610.BREU_2099	2.87e-148	427.0	COG0642@1|root,COG2205@2|Bacteria,2H8CD@201174|Actinobacteria,4CZSF@85004|Bifidobacteriales	His Kinase A (phosphoacceptor) domain	-	-	-	-	-	HATPase_c,HisKA
543	QOL31072.1	158787.BSCA_2535	1.15e-104	310.0	COG0745@1|root,COG0745@2|Bacteria,2GN73@201174|Actinobacteria,4D0E2@85004|Bifidobacteriales	Transcriptional regulatory protein, C terminal	-	-	ko:K02483	-	ko00000,ko02022	Response_reg,Trans_reg_C
543	QOL31073.1	566552.BIFCAT_01102	1.61e-97	295.0	COG1136@1|root,COG1136@2|Bacteria,2I8QP@201174|Actinobacteria,4CZZG@85004|Bifidobacteriales	ATPases associated with a variety of cellular activities	-	-	ko:K02068	-	ko00000,ko00002,ko02000	ABC_tran
543	QOL31074.1	158787.BSCA_2537	2.85e-144	411.0	COG0390@1|root,COG0390@2|Bacteria,2GMHX@201174|Actinobacteria,4CYRQ@85004|Bifidobacteriales	Uncharacterised protein family (UPF0014)	-	-	ko:K02069	-	ko00000,ko00002,ko02000	UPF0014
543	QOL31075.1	397290.C810_03246	1.53e-158	452.0	COG0667@1|root,COG0667@2|Bacteria,1TPIY@1239|Firmicutes,25B3Z@186801|Clostridia,27TY3@186928|unclassified Lachnospiraceae	Aldo/keto reductase family	-	-	-	-	-	Aldo_ket_red
543	QOL31076.1	476272.RUMHYD_02212	8.7e-22	94.0	COG0583@1|root,COG0583@2|Bacteria,1TQWY@1239|Firmicutes,249N9@186801|Clostridia	Psort location Cytoplasmic, score	-	-	-	-	-	HTH_1,LysR_substrate
543	QOL31077.1	999413.HMPREF1094_02524	1.11e-31	120.0	COG1309@1|root,COG1309@2|Bacteria,1VH8G@1239|Firmicutes,3VU84@526524|Erysipelotrichia	Bacterial regulatory proteins, tetR family	-	-	-	-	-	-
543	QOL31078.1	1163671.JAGI01000001_gene225	1.29e-81	244.0	2BNHT@1|root,3273Y@2|Bacteria,1USZU@1239|Firmicutes,250KE@186801|Clostridia	-	-	-	-	-	-	-
543	QOL31079.1	518635.BIFANG_03001	5.23e-11	62.8	COG1154@1|root,COG1154@2|Bacteria,2GMFA@201174|Actinobacteria,4CZ2M@85004|Bifidobacteriales	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP)	dxs	GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0006081,GO:0006082,GO:0006090,GO:0006629,GO:0006644,GO:0006720,GO:0006793,GO:0006796,GO:0008144,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0008654,GO:0008661,GO:0009058,GO:0009240,GO:0009987,GO:0016740,GO:0016744,GO:0019288,GO:0019637,GO:0019682,GO:0019752,GO:0019842,GO:0030145,GO:0030975,GO:0032787,GO:0036094,GO:0040007,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0046490,GO:0046872,GO:0046914,GO:0071704,GO:0090407,GO:0097159,GO:1901135,GO:1901363,GO:1901576,GO:1901681	ko:K01662	ko00730,ko00900,ko01100,ko01110,ko01130,map00730,map00900,map01100,map01110,map01130	ko00000,ko00001,ko00002,ko01000	DXP_synthase_N,Transket_pyr,Transketolase_C
543	QOL31080.1	1400520.LFAB_08335	1.54e-89	278.0	COG5621@1|root,COG5621@2|Bacteria,1VMAB@1239|Firmicutes	Lipocalin-like domain	-	-	-	-	-	CrtC,Lipocalin_9
543	QOL31081.1	411483.FAEPRAA2165_01817	2.18e-16	80.1	COG1309@1|root,COG1309@2|Bacteria,1V7J5@1239|Firmicutes,24JZZ@186801|Clostridia	Psort location Cytoplasmic, score	-	-	-	-	-	TetR_N
543	QOL31082.1	158787.BSCA_2000	1.12e-123	372.0	COG4097@1|root,COG4097@2|Bacteria,2IDHN@201174|Actinobacteria,4CZTY@85004|Bifidobacteriales	nitric oxide dioxygenase activity	-	-	-	-	-	FAD_binding_6,FAD_binding_8,NAD_binding_1
543	QOL31083.1	1437600.JDUI01000007_gene785	2.15e-73	228.0	COG0716@1|root,COG0716@2|Bacteria,2IK2W@201174|Actinobacteria,4D0WK@85004|Bifidobacteriales	Flavodoxin	-	-	-	-	-	Flavodoxin_4
543	QOL31084.1	537013.CLOSTMETH_00790	4.25e-70	224.0	COG1073@1|root,COG1073@2|Bacteria,1V3U9@1239|Firmicutes,24IWS@186801|Clostridia,3WMHG@541000|Ruminococcaceae	Prolyl oligopeptidase family	-	-	ko:K06889	-	ko00000	AXE1,Abhydrolase_1,Hydrolase_4
543	QOL31085.1	1437600.JDUI01000007_gene790	8.73e-22	94.0	COG2272@1|root,COG2272@2|Bacteria,2GJCN@201174|Actinobacteria,4D02Y@85004|Bifidobacteriales	Belongs to the type-B carboxylesterase lipase family	-	-	-	-	-	COesterase
543	QOL31086.1	1435051.BMOU_1291	4.99e-16	78.6	COG1472@1|root,COG1472@2|Bacteria,2GQQR@201174|Actinobacteria,4CZ02@85004|Bifidobacteriales	Fibronectin type III-like domain	-	-	ko:K05349	ko00460,ko00500,ko00940,ko01100,ko01110,map00460,map00500,map00940,map01100,map01110	ko00000,ko00001,ko01000	Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C
543	QOL31087.1	665956.HMPREF1032_01612	3.89e-67	218.0	COG0583@1|root,COG0583@2|Bacteria,1UZXK@1239|Firmicutes,24FYZ@186801|Clostridia,3WMFA@541000|Ruminococcaceae	LysR substrate binding domain	-	-	-	-	-	HTH_1,LysR_substrate
543	QOL31088.1	1437610.BREU_0047	3.29e-193	549.0	COG0675@1|root,COG0675@2|Bacteria,2GM6K@201174|Actinobacteria,4CZ11@85004|Bifidobacteriales	Helix-turn-helix domain	-	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	ko:K07496	-	ko00000	HTH_OrfB_IS605,OrfB_IS605,OrfB_Zn_ribbon
543	QOL31089.1	561180.BIFGAL_03092	2.41e-105	307.0	COG2452@1|root,COG2452@2|Bacteria,2IDNQ@201174|Actinobacteria,4CZVV@85004|Bifidobacteriales	Resolvase, N terminal domain	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0016020,GO:0044424,GO:0044444,GO:0044464,GO:0071944	ko:K07450	-	ko00000	Resolvase
543	QOL31090.1	78344.BIGA_1648	1.57e-141	418.0	COG2801@1|root,COG2801@2|Bacteria,2I8Z0@201174|Actinobacteria,4D0BU@85004|Bifidobacteriales	Integrase core domain	-	-	-	-	-	rve
543	QOL31091.1	857290.HMPREF9156_01171	1.17e-141	410.0	COG0667@1|root,COG0667@2|Bacteria,2GJ4R@201174|Actinobacteria,4D0PD@85004|Bifidobacteriales	Aldo/keto reductase family	-	-	ko:K05275	ko00750,ko01100,ko01120,map00750,map01100,map01120	ko00000,ko00001,ko01000	Aldo_ket_red
543	QOL31092.1	1437600.JDUI01000007_gene785	4.21e-78	239.0	COG0716@1|root,COG0716@2|Bacteria,2IK2W@201174|Actinobacteria,4D0WK@85004|Bifidobacteriales	Flavodoxin	-	-	-	-	-	Flavodoxin_4
543	QOL31093.1	500632.CLONEX_02472	1.17e-94	277.0	COG0454@1|root,COG0456@2|Bacteria,1V433@1239|Firmicutes,24H6M@186801|Clostridia	Psort location Cytoplasmic, score 8.87	-	-	-	-	-	Acetyltransf_1,Acetyltransf_10
